Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"54387","2019-06-24 12:32:22","0","165","<r><clustering><k-means><plotting>","3",""
"54390","2019-06-24 13:06:49","3","2656","<features>","2","1"
"54398","2019-06-24 15:12:48","0","100","<cnn>","0",""
"54401","2019-06-24 15:32:22","0","137","<machine-learning><neural-network><dataset><cnn><convolution>","1",""
"54402","2019-06-24 15:32:44","0","28","<python><tensorflow>","2",""
"54407","2019-06-24 16:57:57","0","168","<visualization><machine-learning-model><data-science-model>","1",""
"54409","2019-06-24 19:16:13","1","329","<machine-learning><neural-network><data-science-model>","2",""
"54412","2019-06-24 21:26:21","4","2360","<nlp><cnn><pytorch><transfer-learning><bert>","2","4"
"54413","2019-06-24 22:11:19","1","401","<machine-learning><python><data-mining><numpy><linear-algebra>","1","0"
"54414","2019-06-24 23:48:03","0","1334","<matrix>","2",""
"54427","2019-06-25 05:18:33","0","28","<data-cleaning><sql>","1",""
"54430","2019-06-25 06:03:30","0","51","<regression><linear-regression><feature-engineering>","1",""
"54432","2019-06-25 06:46:58","0","48","<neural-network><classification><regression>","0",""
"54433","2019-06-25 07:04:37","1","52","<neural-network><predictive-modeling><correlation>","1",""
"54436","2019-06-25 07:29:41","0","6020","<machine-learning><python><data><data-analysis><anaconda>","1",""
"54441","2019-06-25 08:44:45","1","40","<python><deep-learning><convnet><image-recognition>","1",""
"54443","2019-06-25 09:30:07","1","1320","<python><deep-learning><keras><tensorflow>","1",""
"54450","2019-06-25 11:44:43","4","750","<dataset><data><training><evaluation><object-detection>","1","2"
"54452","2019-06-25 11:51:11","-1","83","<r><programming>","0","1"
"54453","2019-06-25 12:12:45","2","117","<regression><cross-validation>","1","1"
"54464","2019-06-25 13:06:41","1","196","<text-mining><information-retrieval><topic-model>","1",""
"54465","2019-06-25 13:07:27","2","28","<clustering><linear-regression>","1",""
"54467","2019-06-25 14:17:25","2","260","<nlp><word2vec>","0",""
"54472","2019-06-25 15:59:35","2","43","<python><pandas><data-cleaning>","2",""
"54473","2019-06-25 16:01:20","1","359","<neural-network><multiclass-classification><dimensionality-reduction><regularization>","2",""
"54477","2019-06-25 17:00:50","2","210","<neural-network><deep-learning><keras><tensorflow><cnn>","5",""
"54478","2019-06-25 17:03:35","2","250","<neural-network><hyperparameter><hyperparameter-tuning>","0",""
"54480","2019-06-25 17:09:49","1","244","<machine-learning><tensorflow>","1",""
"54483","2019-06-25 17:33:51","1","154","<machine-learning><python><keras><time-series><regression>","1",""
"54485","2019-06-25 18:35:13","0","446","<keras><convnet>","2",""
"54489","2019-06-25 19:51:24","0","46","<machine-learning><cross-validation><variance><bias>","2",""
"54491","2019-06-25 20:14:51","4","6648","<keras>","1","0"
"54492","2019-06-25 20:43:10","0","60","<machine-learning><python><scikit-learn><data-science-model>","2",""
